epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80294,4.82268,4.24016,3.96698,0,0,0,0,4.72949,4.02795,3.8423,0.0032963,0.0032963,0.0703333
2,9.47196,4.52434,3.4759,3.29341,0.00335,0.20365,0.00245,0.0006,4.37638,inf,5.18884,0.00659681,0.00659681,0.0403005
3,13.798,3.85837,3.07028,2.82293,0.84824,0.02657,0.00516,0.00114,4.26861,5.39756,3.70462,0.00986433,0.00986433,0.0102347
4,18.0324,3.56086,2.84495,2.65826,0.87942,0.02415,0.01768,0.00437,4.51457,5.3395,4.10654,0.0098515,0.0098515,0.0098515
5,22.9414,3.36816,2.76672,2.54049,0.86388,0.02899,0.01929,0.00371,4.21027,6.43161,3.5821,0.009802,0.009802,0.009802
6,28.2606,3.12148,2.55954,2.3198,0.86016,0.04348,0.02894,0.00804,3.70937,4.828,3.17052,0.0097525,0.0097525,0.0097525
7,33.0785,2.86163,2.40682,2.16837,0.50216,0.21295,0.13877,0.03339,3.1293,2.93321,2.77295,0.009703,0.009703,0.009703
8,37.8932,2.72478,2.30959,2.11097,0.57159,0.10251,0.05432,0.01563,3.82341,4.90199,3.28946,0.0096535,0.0096535,0.0096535
9,42.8511,2.55719,2.2206,2.02369,0.1596,0.25374,0.16547,0.05227,2.89289,3.06367,2.55785,0.009604,0.009604,0.009604
10,47.5565,2.45697,2.15739,1.94062,0.14553,0.28126,0.16383,0.04745,3.05367,2.82168,2.73719,0.0095545,0.0095545,0.0095545
11,52.4049,2.40179,2.09668,1.93106,0.54461,0.33627,0.24218,0.08612,2.42863,2.49299,2.31876,0.009505,0.009505,0.009505
12,57.4122,2.31896,2.02497,1.84712,0.28097,0.37006,0.28634,0.10011,2.2727,2.54989,2.20236,0.0094555,0.0094555,0.0094555
13,62.3888,2.25504,1.95317,1.80346,0.59332,0.31809,0.2705,0.09463,2.45334,2.61196,2.25472,0.009406,0.009406,0.009406
14,67.1785,2.20313,1.92275,1.79285,0.25611,0.36853,0.22445,0.08812,2.45054,2.47782,2.36438,0.0093565,0.0093565,0.0093565
15,71.9431,2.18684,1.87211,1.75943,0.4534,0.42971,0.41125,0.16749,2.0999,1.91986,2.04764,0.009307,0.009307,0.009307
16,76.9484,2.10157,1.82194,1.72808,0.65074,0.39329,0.38147,0.15821,2.16548,2.02669,2.08393,0.0092575,0.0092575,0.0092575
17,81.9462,2.09259,1.79204,1.70227,0.56758,0.44718,0.44276,0.17561,2.16268,2.05899,2.03991,0.009208,0.009208,0.009208
18,87.2098,2.07131,1.76353,1.67591,0.32953,0.38796,0.32646,0.13396,2.15365,2.18771,2.05285,0.0091585,0.0091585,0.0091585
19,92.1088,2.04816,1.75186,1.67292,0.3841,0.45533,0.42037,0.17456,2.17083,1.89727,2.05921,0.009109,0.009109,0.009109
20,96.8051,2.02825,1.74512,1.66371,0.40731,0.48078,0.42544,0.17755,1.9998,1.93605,1.94226,0.0090595,0.0090595,0.0090595
