epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.84772,4.02175,4.245,4.03818,0,0,0,0,4.06769,4.10829,3.98169,0.0032963,0.0032963,0.0703333
2,11.152,3.75291,3.7061,3.71077,0.00024,0.05949,7e-05,1e-05,4.43696,4.61188,4.42672,0.00659681,0.00659681,0.0403005
3,16.0131,3.4264,3.27426,3.32098,0.00063,0.00966,0.00015,2e-05,4.51139,5.25106,4.32793,0.00986433,0.00986433,0.0102347
4,20.6789,2.98493,2.97799,2.97852,0.68627,0.03382,0.01008,0.00244,4.5669,6.68937,4.45527,0.0098515,0.0098515,0.0098515
5,25.228,2.68476,2.76566,2.69995,0.8972,0.0628,0.04557,0.01361,3.73356,4.8171,3.94703,0.009802,0.009802,0.009802
6,30.3756,2.37885,2.49599,2.46692,0.28659,0.23034,0.12162,0.0337,2.91776,3.68734,3.07328,0.0097525,0.0097525,0.0097525
7,35.5346,2.18244,2.2571,2.27743,0.41815,0.08757,0.09051,0.0361,2.80358,3.45202,2.96861,0.009703,0.009703,0.009703
8,40.592,2.02623,2.09891,2.15747,0.18984,0.38444,0.22559,0.08271,2.32161,2.54291,2.60729,0.0096535,0.0096535,0.0096535
9,45.5856,1.9295,2.00984,2.09044,0.14242,0.26208,0.14534,0.05089,2.62119,3.41611,2.79138,0.009604,0.009604,0.009604
10,50.374,1.85171,1.91096,2.01474,0.40726,0.55199,0.44357,0.18736,2.04342,2.0668,2.33512,0.0095545,0.0095545,0.0095545
11,55.1487,1.81979,1.87127,1.98362,0.59022,0.46428,0.43802,0.17567,1.98334,2.13175,2.31074,0.009505,0.009505,0.009505
12,59.3965,1.77966,1.79756,1.93277,0.53406,0.34876,0.32195,0.13846,2.22419,2.41936,2.45962,0.0094555,0.0094555,0.0094555
13,63.9155,1.7122,1.7032,1.86393,0.44919,0.53159,0.44533,0.17031,2.01219,2.00223,2.31703,0.009406,0.009406,0.009406
14,68.4742,1.68538,1.6936,1.87021,0.33575,0.48637,0.42992,0.18033,2.08161,2.51504,2.41885,0.0093565,0.0093565,0.0093565
15,72.7995,1.65797,1.64543,1.82555,0.5744,0.52558,0.5424,0.27195,1.78857,1.91995,2.14742,0.009307,0.009307,0.009307
16,77.6527,1.63059,1.61161,1.80557,0.55652,0.53076,0.52652,0.26371,1.78393,1.7895,2.09629,0.0092575,0.0092575,0.0092575
17,82.465,1.59846,1.56397,1.7654,0.65435,0.52294,0.62023,0.25695,1.85211,1.76623,2.15197,0.009208,0.009208,0.009208
