epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.38759,1.75817,3.84595,1.63052,0.00903,0.6044,0.10457,0.05052,1.80935,3.5247,1.53038,0.0032963,0.0032963,0.0703333
2,10.5807,1.57423,2.81044,1.54025,0.47841,0.29665,0.26672,0.11061,1.97786,2.85574,1.85447,0.00659681,0.00659681,0.0403005
3,15.667,1.62218,1.98892,1.56257,0.42892,0.44617,0.37731,0.16961,1.93877,3.02566,1.82443,0.00986433,0.00986433,0.0102347
4,20.8626,1.61182,1.77153,1.51844,0.48501,0.16417,0.18451,0.07643,2.31317,4.56977,2.14301,0.0098515,0.0098515,0.0098515
5,25.7788,1.58775,1.75019,1.49384,0.41232,0.27196,0.20832,0.0796,2.37941,3.37939,2.33783,0.009802,0.009802,0.009802
6,30.0665,1.54535,1.63908,1.46601,0.83227,0.24602,0.28554,0.13004,2.79902,3.71491,2.70772,0.0097525,0.0097525,0.0097525
7,34.5722,1.50289,1.54229,1.42106,0.58896,0.26249,0.28615,0.11822,2.45435,3.0321,2.18042,0.009703,0.009703,0.009703
8,39.2701,1.48758,1.5209,1.40895,0.43143,0.36535,0.38405,0.16454,2.36903,3.28445,2.34354,0.0096535,0.0096535,0.0096535
9,44.4779,1.47116,1.48206,1.40596,0.57771,0.68247,0.62427,0.31458,1.63716,1.67511,1.58844,0.009604,0.009604,0.009604
10,49.4742,1.43659,1.44611,1.3745,0.6298,0.55584,0.5305,0.28795,1.60144,1.82098,1.50707,0.0095545,0.0095545,0.0095545
11,53.7665,1.44062,1.41793,1.38053,0.47908,0.4496,0.44079,0.19585,1.98487,2.09374,1.76009,0.009505,0.009505,0.009505
12,58.8561,1.43241,1.41084,1.37564,0.60747,0.60838,0.64133,0.38638,1.50181,1.67541,1.51432,0.0094555,0.0094555,0.0094555
13,64.0227,1.39665,1.34193,1.34541,0.65982,0.47557,0.51048,0.23799,1.84069,2.07238,1.69402,0.009406,0.009406,0.009406
14,69.2177,1.40463,1.35302,1.35491,0.57805,0.5292,0.50768,0.24706,1.80989,1.86958,1.65952,0.0093565,0.0093565,0.0093565
15,74.4449,1.40249,1.3212,1.34418,0.64324,0.66641,0.67954,0.39799,1.48665,1.4824,1.46222,0.009307,0.009307,0.009307
16,79.3382,1.38194,1.31736,1.33376,0.6916,0.72092,0.7314,0.44453,1.44176,1.36379,1.40242,0.0092575,0.0092575,0.0092575
17,84.436,1.36849,1.26776,1.3182,0.57538,0.62802,0.60524,0.30245,1.82286,1.66358,1.74615,0.009208,0.009208,0.009208
18,89.5394,1.37569,1.26856,1.32381,0.53251,0.51322,0.50426,0.23561,1.7777,1.86426,1.60817,0.0091585,0.0091585,0.0091585
19,94.5258,1.35705,1.2709,1.32024,0.68777,0.72427,0.7399,0.42893,1.44439,1.39749,1.40769,0.009109,0.009109,0.009109
20,99.6408,1.33586,1.25614,1.30723,0.58647,0.62313,0.66178,0.32608,1.76608,1.61076,1.61206,0.0090595,0.0090595,0.0090595
21,105.018,1.32395,1.20841,1.30201,0.66487,0.76228,0.74767,0.46035,1.39025,1.26756,1.40206,0.00901,0.00901,0.00901
22,110.341,1.32726,1.2167,1.30713,0.56991,0.414,0.4429,0.27098,1.85406,2.07102,1.73384,0.0089605,0.0089605,0.0089605
23,115.446,1.3315,1.20921,1.2968,0.67794,0.6714,0.71952,0.36372,1.61285,1.40503,1.47623,0.008911,0.008911,0.008911
24,120.211,1.31292,1.18719,1.28932,0.63992,0.73606,0.73949,0.45158,1.40641,1.26052,1.37324,0.0088615,0.0088615,0.0088615
25,125.284,1.30562,1.18866,1.28767,0.63977,0.60831,0.62731,0.36231,1.52596,1.48868,1.44918,0.008812,0.008812,0.008812
26,130.526,1.28709,1.17591,1.28331,0.59826,0.6491,0.64733,0.36063,1.61075,1.44603,1.4913,0.0087625,0.0087625,0.0087625
27,135.562,1.30479,1.15707,1.28666,0.65586,0.64649,0.69098,0.38964,1.50154,1.39881,1.44511,0.008713,0.008713,0.008713
28,140.781,1.28578,1.14995,1.27861,0.64612,0.61385,0.68598,0.36368,1.65633,1.67903,1.54754,0.0086635,0.0086635,0.0086635
29,145.636,1.29043,1.16112,1.27815,0.71438,0.74449,0.758,0.42169,1.52156,1.22763,1.45788,0.008614,0.008614,0.008614
30,150.768,1.29147,1.14763,1.27915,0.68348,0.67737,0.72763,0.39276,1.62156,1.43778,1.49944,0.0085645,0.0085645,0.0085645
31,156.214,1.27608,1.1311,1.26325,0.64634,0.70687,0.68921,0.40623,1.48828,1.39588,1.44817,0.008515,0.008515,0.008515
32,161.452,1.29522,1.16254,1.28228,0.66262,0.66586,0.66411,0.40921,1.49754,1.35772,1.4751,0.0084655,0.0084655,0.0084655
33,166.647,1.29538,1.14071,1.27763,0.71428,0.65716,0.69646,0.40035,1.54863,1.3835,1.46114,0.008416,0.008416,0.008416
34,171.993,1.25817,1.10668,1.25638,0.62924,0.68295,0.68533,0.38151,1.44928,1.34169,1.40311,0.0083665,0.0083665,0.0083665
35,177.234,1.24283,1.09001,1.24981,0.72493,0.74277,0.76336,0.4633,1.38137,1.25645,1.35514,0.008317,0.008317,0.008317
36,182.311,1.23964,1.0918,1.24394,0.62148,0.62671,0.6355,0.32045,1.75946,1.52516,1.59473,0.0082675,0.0082675,0.0082675
37,186.966,1.24875,1.07677,1.24773,0.6279,0.62031,0.65366,0.33221,1.75158,1.53163,1.59694,0.008218,0.008218,0.008218
38,191.594,1.25048,1.10765,1.25507,0.70435,0.69026,0.72086,0.4209,1.4838,1.27169,1.40896,0.0081685,0.0081685,0.0081685
39,196.308,1.23357,1.06034,1.2478,0.47706,0.5509,0.52033,0.27293,2.08834,1.9345,1.96952,0.008119,0.008119,0.008119
40,200.417,1.22879,1.0697,1.24227,0.70885,0.68318,0.71976,0.43434,1.47021,1.22758,1.40707,0.0080695,0.0080695,0.0080695
41,204.961,1.2364,1.06908,1.24972,0.75634,0.67271,0.75069,0.42852,1.50287,1.25681,1.45022,0.00802,0.00802,0.00802
42,209.859,1.22324,1.07497,1.24757,0.68682,0.71424,0.73575,0.45223,1.40492,1.20125,1.35638,0.0079705,0.0079705,0.0079705
