epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7423,4.55649,4.27723,4.0079,0,0,0,0,4.35196,4.10758,3.85062,0.0032963,0.0032963,0.0703333
2,17.1588,4.31029,3.7295,3.62626,0.18571,0.00966,0.00331,0.00088,4.23386,5.12687,3.90956,0.00659681,0.00659681,0.0403005
3,22.3723,3.85085,3.26032,3.23523,0.00786,0.00736,0.00113,0.00017,4.49115,8.01135,4.17707,0.00986433,0.00986433,0.0102347
4,27.5715,3.47649,3.02932,2.9788,0.35871,0.02657,0.01577,0.00356,4.2563,15.6185,3.71818,0.0098515,0.0098515,0.0098515
5,32.7665,3.1918,2.78227,2.7678,0.71827,0.0877,0.03672,0.00838,3.44459,7.42238,3.22653,0.009802,0.009802,0.009802
6,37.8263,2.95999,2.54496,2.55621,0.4377,0.29261,0.10465,0.02505,2.97836,3.97294,2.83187,0.0097525,0.0097525,0.0097525
7,43.081,2.73753,2.36138,2.38386,0.31641,0.2417,0.14304,0.04372,2.89703,2.95823,2.72552,0.009703,0.009703,0.009703
8,47.9626,2.55033,2.22487,2.2716,0.37547,0.36868,0.20515,0.06901,3.00987,2.79469,2.76458,0.0096535,0.0096535,0.0096535
9,52.6958,2.46121,2.14475,2.22241,0.47233,0.29954,0.23652,0.07534,2.65911,2.93674,2.64449,0.009604,0.009604,0.009604
10,57.359,2.4153,2.08313,2.1698,0.45499,0.3866,0.33457,0.1199,2.433,2.25061,2.38658,0.0095545,0.0095545,0.0095545
11,62.1098,2.33209,2.01681,2.12199,0.58162,0.42978,0.3321,0.12072,2.38931,2.23302,2.35331,0.009505,0.009505,0.009505
12,66.8055,2.30025,1.96861,2.0795,0.48767,0.37552,0.31363,0.12293,2.64009,2.2415,2.48835,0.0094555,0.0094555,0.0094555
13,71.5623,2.253,1.90263,2.04067,0.36226,0.36359,0.34102,0.12069,2.54234,2.48718,2.46601,0.009406,0.009406,0.009406
14,76.1922,2.22247,1.89115,2.02704,0.5279,0.46928,0.43732,0.17682,2.38273,2.15884,2.30625,0.0093565,0.0093565,0.0093565
15,80.7791,2.20811,1.84191,1.9994,0.59854,0.50317,0.46272,0.19421,2.25701,1.97828,2.2304,0.009307,0.009307,0.009307
16,85.4737,2.12794,1.79661,1.96048,0.70058,0.39441,0.39974,0.16797,2.33266,2.15935,2.26198,0.0092575,0.0092575,0.0092575
17,90.3594,2.12804,1.77231,1.94186,0.61451,0.46732,0.47355,0.19192,2.21839,1.99704,2.20874,0.009208,0.009208,0.009208
18,95.0207,2.12955,1.76064,1.93348,0.53098,0.52664,0.4642,0.20753,2.26745,1.89882,2.2143,0.0091585,0.0091585,0.0091585
19,99.8354,2.09929,1.73384,1.90906,0.63432,0.48764,0.46737,0.20273,2.32909,1.97048,2.25199,0.009109,0.009109,0.009109
20,104.602,2.08711,1.72843,1.90732,0.35177,0.40849,0.34919,0.14929,2.33296,2.14355,2.34469,0.0090595,0.0090595,0.0090595
21,109.268,2.09946,1.72517,1.90188,0.66827,0.45194,0.48994,0.20474,2.46297,2.24579,2.3426,0.00901,0.00901,0.00901
22,113.985,2.06485,1.70726,1.89139,0.64121,0.43749,0.46895,0.20771,2.27132,1.85749,2.17918,0.0089605,0.0089605,0.0089605
23,118.736,2.03125,1.67752,1.87205,0.68789,0.47158,0.49377,0.21974,2.19918,1.7878,2.15709,0.008911,0.008911,0.008911
24,123.455,2.04208,1.67853,1.87456,0.60893,0.44677,0.46352,0.20023,2.25893,1.91227,2.18217,0.0088615,0.0088615,0.0088615
25,128.516,2.03835,1.66505,1.87452,0.69479,0.5035,0.52898,0.23514,2.11576,1.80074,2.10691,0.008812,0.008812,0.008812
26,133.261,2.02672,1.65298,1.85579,0.58724,0.42141,0.42746,0.1875,2.40129,1.93666,2.28151,0.0087625,0.0087625,0.0087625
27,138.089,2.00821,1.62271,1.85212,0.59793,0.50746,0.50609,0.22204,2.20177,1.919,2.18084,0.008713,0.008713,0.008713
28,142.799,1.99409,1.62087,1.84298,0.6209,0.50007,0.51206,0.24489,2.15933,1.74757,2.12376,0.0086635,0.0086635,0.0086635
29,147.465,1.97806,1.61455,1.81959,0.66021,0.4833,0.50774,0.2348,2.20208,1.8129,2.14992,0.008614,0.008614,0.008614
30,152.136,1.99907,1.60951,1.83565,0.59925,0.48695,0.48481,0.21503,2.29259,1.87919,2.21911,0.0085645,0.0085645,0.0085645
31,156.944,1.97352,1.59312,1.81442,0.77993,0.45842,0.5235,0.24754,2.19709,1.76148,2.13108,0.008515,0.008515,0.008515
