epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43706,1.85266,3.84667,1.65145,0.00832,0.44547,0.08836,0.03635,1.95837,3.63665,1.72221,0.0032963,0.0032963,0.0703333
2,10.098,1.74091,2.9352,1.58885,0.32925,0.30957,0.20424,0.08836,2.05116,2.81364,1.83924,0.00659681,0.00659681,0.0403005
3,14.7659,1.80678,2.16203,1.63862,0.4491,0.40315,0.228,0.09458,2.33189,13.2275,2.19589,0.00986433,0.00986433,0.0102347
4,19.424,1.78318,1.96204,1.626,0.26407,0.33483,0.267,0.09665,2.12662,3.39485,1.96962,0.0098515,0.0098515,0.0098515
5,23.9006,1.78643,1.91676,1.61039,0.18261,0.24904,0.15835,0.06848,2.29427,3.04329,1.98379,0.009802,0.009802,0.009802
6,28.5859,1.73735,1.83758,1.57325,0.50007,0.16762,0.15746,0.06821,2.66515,3.68965,2.43645,0.0097525,0.0097525,0.0097525
7,33.3079,1.69586,1.75062,1.52405,0.40802,0.54571,0.48931,0.22808,1.84564,2.24454,1.69069,0.009703,0.009703,0.009703
8,38.3541,1.65958,1.71478,1.51386,0.33453,0.34573,0.28723,0.12489,2.04945,2.92947,1.8493,0.0096535,0.0096535,0.0096535
9,43.3638,1.66442,1.69663,1.52391,0.42292,0.55429,0.48788,0.22173,1.78699,1.9913,1.63132,0.009604,0.009604,0.009604
10,48.2203,1.65245,1.68198,1.49786,0.5334,0.47368,0.41738,0.19286,1.99297,2.1349,1.72769,0.0095545,0.0095545,0.0095545
11,52.9829,1.62204,1.64814,1.49554,0.51604,0.55244,0.51025,0.23138,1.80348,2.00223,1.66842,0.009505,0.009505,0.009505
12,58.1569,1.64243,1.63688,1.50804,0.48474,0.52165,0.51742,0.23487,1.90355,1.90476,1.72297,0.0094555,0.0094555,0.0094555
13,63.328,1.59015,1.58967,1.47713,0.51446,0.51777,0.5182,0.23974,1.8089,2.09612,1.65115,0.009406,0.009406,0.009406
14,68.4424,1.6036,1.58886,1.48431,0.64752,0.44463,0.47033,0.22984,1.87789,1.82387,1.60558,0.0093565,0.0093565,0.0093565
15,73.4742,1.58779,1.55085,1.46484,0.33545,0.38282,0.34546,0.16151,2.0234,2.31807,1.88666,0.009307,0.009307,0.009307
16,78.3199,1.54872,1.53169,1.45821,0.64939,0.4076,0.42073,0.191,1.85898,2.04559,1.67543,0.0092575,0.0092575,0.0092575
17,83.22,1.5476,1.50377,1.44523,0.65112,0.42185,0.50305,0.23979,1.78521,1.88231,1.59619,0.009208,0.009208,0.009208
18,88.1143,1.56855,1.50911,1.4545,0.4372,0.51395,0.46435,0.20158,2.03913,1.99429,1.82624,0.0091585,0.0091585,0.0091585
19,92.954,1.53916,1.4956,1.44095,0.60714,0.60699,0.61975,0.31492,1.63949,1.68603,1.52985,0.009109,0.009109,0.009109
20,98.0396,1.52847,1.50092,1.43389,0.53082,0.46409,0.48655,0.23046,1.7718,1.88339,1.58631,0.0090595,0.0090595,0.0090595
21,102.942,1.53871,1.49058,1.43563,0.68498,0.60811,0.66074,0.34698,1.64403,1.57279,1.54832,0.00901,0.00901,0.00901
22,107.978,1.53267,1.46096,1.43379,0.44952,0.53026,0.54592,0.25231,1.82426,1.7343,1.5805,0.0089605,0.0089605,0.0089605
23,112.817,1.52659,1.4482,1.43079,0.59434,0.4787,0.53064,0.27195,1.77338,1.77747,1.64169,0.008911,0.008911,0.008911
24,117.941,1.54339,1.45828,1.43457,0.47045,0.55964,0.55488,0.27681,1.76441,1.68428,1.6154,0.0088615,0.0088615,0.0088615
25,123.11,1.52264,1.45056,1.43285,0.51316,0.59318,0.59482,0.29889,1.65749,1.59417,1.49334,0.008812,0.008812,0.008812
26,127.579,1.52124,1.4403,1.42897,0.58922,0.62702,0.64741,0.31988,1.65725,1.66213,1.54976,0.0087625,0.0087625,0.0087625
27,132.572,1.51877,1.41616,1.41708,0.5816,0.59866,0.60295,0.30029,1.69093,1.63458,1.6018,0.008713,0.008713,0.008713
28,137.37,1.495,1.40892,1.40898,0.3287,0.43588,0.36594,0.18496,1.98128,2.30104,1.77075,0.0086635,0.0086635,0.0086635
29,142.308,1.49911,1.40383,1.41168,0.56626,0.19437,0.21487,0.09622,2.46468,2.90976,2.27349,0.008614,0.008614,0.008614
30,147.312,1.50348,1.40699,1.41272,0.60539,0.56905,0.60135,0.31773,1.64431,1.75084,1.49897,0.0085645,0.0085645,0.0085645
31,152.396,1.49492,1.39126,1.40786,0.58683,0.55584,0.58831,0.29457,1.69317,1.789,1.57498,0.008515,0.008515,0.008515
32,157.166,1.49887,1.38471,1.40311,0.52224,0.63175,0.62803,0.31627,1.63396,1.52831,1.53266,0.0084655,0.0084655,0.0084655
33,161.965,1.46511,1.36062,1.38826,0.55338,0.66637,0.64734,0.34131,1.58385,1.53586,1.46701,0.008416,0.008416,0.008416
34,167.012,1.47925,1.36135,1.39782,0.60373,0.61257,0.6621,0.3521,1.57105,1.49042,1.48711,0.0083665,0.0083665,0.0083665
35,171.998,1.47657,1.35388,1.40233,0.61652,0.58167,0.5944,0.29257,1.74481,1.72459,1.61088,0.008317,0.008317,0.008317
36,177.005,1.47603,1.35724,1.39316,0.61696,0.55473,0.64523,0.33652,1.67516,1.55003,1.53698,0.0082675,0.0082675,0.0082675
37,182.045,1.46528,1.33704,1.3882,0.59087,0.52001,0.56049,0.27672,1.85336,1.69384,1.58181,0.008218,0.008218,0.008218
