epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75262,3.58898,3.86351,3.81432,0.00037,0.15457,0.00246,0.00043,3.64662,3.40108,4.04024,0.0032963,0.0032963,0.0703333
2,19.2218,3.29383,3.02629,3.31485,0.00708,0.60881,0.01563,0.00454,2.86039,4.09744,3.48232,0.00659681,0.00659681,0.0403005
3,28.8628,2.70758,2.91399,2.89384,0.20647,0.08454,0.02196,0.00641,2.73206,4.48513,3.31519,0.00986433,0.00986433,0.0102347
4,37.8464,2.2514,2.745,2.52659,0.13826,0.29869,0.11357,0.04825,2.19248,3.35038,2.82526,0.0098515,0.0098515,0.0098515
5,46.8999,1.95037,2.55572,2.2713,0.13596,0.28572,0.1313,0.06184,2.18056,4.44815,2.93017,0.009802,0.009802,0.009802
6,56.0058,1.72629,2.36104,2.05995,0.24182,0.45361,0.23597,0.11299,1.98509,3.45379,2.5813,0.0097525,0.0097525,0.0097525
7,64.9054,1.58632,2.15828,1.90999,0.39947,0.29344,0.21162,0.1148,2.11744,3.17575,2.76133,0.009703,0.009703,0.009703
8,74.0337,1.47411,2.01096,1.84205,0.23496,0.43211,0.215,0.10411,1.85515,2.81335,2.60201,0.0096535,0.0096535,0.0096535
9,83.0508,1.41696,1.93092,1.79397,0.46046,0.54787,0.50178,0.29558,1.53082,2.21423,2.16737,0.009604,0.009604,0.009604
10,92.2328,1.354,1.83424,1.71794,0.30334,0.52546,0.30111,0.16447,1.58732,2.35133,2.20859,0.0095545,0.0095545,0.0095545
11,101.584,1.30506,1.76475,1.68919,0.42089,0.54173,0.42965,0.24847,1.50014,2.08413,2.12741,0.009505,0.009505,0.009505
12,110.937,1.26305,1.70229,1.65612,0.48006,0.50684,0.45752,0.27197,1.34948,2.19202,2.00817,0.0094555,0.0094555,0.0094555
13,120.111,1.21736,1.66166,1.61659,0.42432,0.63182,0.47314,0.27394,1.38301,2.03228,2.02548,0.009406,0.009406,0.009406
14,129.163,1.20034,1.64463,1.59228,0.56647,0.62809,0.59151,0.37821,1.33229,2.03394,1.98461,0.0093565,0.0093565,0.0093565
15,138.491,1.15981,1.5672,1.5472,0.51816,0.70487,0.61664,0.37074,1.41556,1.8427,2.07349,0.009307,0.009307,0.009307
16,147.685,1.1245,1.53538,1.53014,0.60704,0.72093,0.6937,0.47289,1.2381,1.78342,1.89917,0.0092575,0.0092575,0.0092575
17,156.958,1.09868,1.49858,1.51001,0.56574,0.69332,0.64156,0.34306,1.41554,1.98792,2.09549,0.009208,0.009208,0.009208
18,165.945,1.07361,1.47192,1.48217,0.49901,0.63746,0.52843,0.35262,1.18416,1.79584,1.84741,0.0091585,0.0091585,0.0091585
19,175.045,1.07011,1.46505,1.48849,0.60215,0.71041,0.68847,0.41249,1.27186,1.80904,1.94835,0.009109,0.009109,0.009109
20,183.979,1.04079,1.45652,1.46934,0.57864,0.67605,0.66754,0.37521,1.33429,1.73628,2.06615,0.0090595,0.0090595,0.0090595
21,193.013,1.03205,1.43196,1.45762,0.55316,0.67183,0.6063,0.32895,1.37812,1.91951,2.05323,0.00901,0.00901,0.00901
22,202.043,1.00803,1.40221,1.43798,0.55485,0.65469,0.60834,0.38407,1.25175,1.78703,1.92779,0.0089605,0.0089605,0.0089605
23,211.169,1.02211,1.40566,1.44733,0.53622,0.68958,0.62817,0.38563,1.2231,1.78339,1.95672,0.008911,0.008911,0.008911
24,220.064,1.00328,1.38781,1.44319,0.63962,0.69475,0.69619,0.43253,1.27645,1.73676,1.99346,0.0088615,0.0088615,0.0088615
25,228.989,0.99483,1.40321,1.42447,0.62033,0.74313,0.65344,0.4477,1.03905,1.59633,1.74094,0.008812,0.008812,0.008812
26,238.096,0.97871,1.35803,1.41989,0.60747,0.68738,0.65251,0.44257,1.07017,1.56904,1.8038,0.0087625,0.0087625,0.0087625
27,247.06,0.9557,1.33458,1.39731,0.72198,0.73117,0.74181,0.52394,1.04433,1.6083,1.7487,0.008713,0.008713,0.008713
28,256.036,0.96452,1.32671,1.40292,0.71009,0.73773,0.74905,0.53139,1.06726,1.58875,1.78217,0.0086635,0.0086635,0.0086635
29,265.558,0.9567,1.32576,1.39179,0.5991,0.78212,0.63909,0.4368,1.11973,1.57432,1.81384,0.008614,0.008614,0.008614
30,274.805,0.95041,1.31461,1.40179,0.68939,0.73967,0.73359,0.50274,1.10099,1.45172,1.83352,0.0085645,0.0085645,0.0085645
31,283.813,0.91621,1.29836,1.36164,0.69153,0.7378,0.75355,0.49826,1.08806,1.48787,1.82145,0.008515,0.008515,0.008515
