epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95938,3.87229,3.92552,3.89592,0.00028,0.16667,0.00063,0.00012,4.15675,4.10377,3.98152,0.0032963,0.0032963,0.0703333
2,18.2979,3.64461,3.15787,3.471,0.0079,0.43184,0.01196,0.00274,3.73089,4.37481,3.88361,0.00659681,0.00659681,0.0403005
3,26.274,3.13978,3.0192,3.11753,0.364,0.05999,0.03278,0.00827,3.5134,3.89292,3.52593,0.00986433,0.00986433,0.0102347
4,34.4761,2.68404,2.83532,2.77798,0.44357,0.08953,0.06283,0.01648,3.2017,3.83978,3.29511,0.0098515,0.0098515,0.0098515
5,42.6464,2.36895,2.61451,2.52312,0.18776,0.32206,0.19258,0.06415,2.57757,2.95019,2.81769,0.009802,0.009802,0.009802
6,51.4389,2.14572,2.37649,2.31247,0.22237,0.43995,0.26281,0.1075,2.41938,2.59819,2.63857,0.0097525,0.0097525,0.0097525
7,60.0103,1.96727,2.19675,2.15348,0.36271,0.43905,0.35952,0.17396,2.19724,2.53684,2.47123,0.009703,0.009703,0.009703
8,68.6221,1.87286,2.06423,2.07777,0.37476,0.5051,0.40542,0.19407,2.04279,2.20111,2.35647,0.0096535,0.0096535,0.0096535
9,77.2705,1.78387,1.98322,2.0206,0.39836,0.48484,0.35697,0.17358,2.21212,2.73888,2.43794,0.009604,0.009604,0.009604
10,86.1771,1.71814,1.91477,1.95756,0.47084,0.54597,0.49385,0.23446,1.94519,1.99932,2.27375,0.0095545,0.0095545,0.0095545
11,94.8519,1.66342,1.8392,1.91012,0.46326,0.51713,0.40479,0.18154,1.82847,2.25461,2.17956,0.009505,0.009505,0.009505
12,103.94,1.6264,1.78802,1.86845,0.52607,0.59934,0.56099,0.30946,1.71568,1.99031,2.0638,0.0094555,0.0094555,0.0094555
13,112.534,1.57409,1.70985,1.82395,0.50096,0.60165,0.51318,0.24441,1.77107,1.86593,2.08626,0.009406,0.009406,0.009406
14,121.577,1.56924,1.69267,1.82329,0.51827,0.65647,0.58526,0.30589,1.67055,1.87353,2.0307,0.0093565,0.0093565,0.0093565
15,130.339,1.52276,1.59701,1.77323,0.56663,0.67483,0.6032,0.31405,1.69369,1.70251,2.04438,0.009307,0.009307,0.009307
16,139.27,1.49191,1.59316,1.74836,0.58217,0.65851,0.63423,0.35568,1.64725,1.63996,1.98111,0.0092575,0.0092575,0.0092575
17,148.14,1.48403,1.55436,1.73244,0.543,0.56367,0.54265,0.26483,1.62012,1.81357,1.98736,0.009208,0.009208,0.009208
18,157.928,1.45577,1.50734,1.71111,0.57927,0.72974,0.64381,0.36037,1.48347,1.55967,1.84097,0.0091585,0.0091585,0.0091585
19,166.894,1.46996,1.51124,1.71941,0.63986,0.66128,0.61305,0.33172,1.54213,1.6739,1.91338,0.009109,0.009109,0.009109
20,176.426,1.43567,1.50586,1.70101,0.65767,0.6469,0.64334,0.33126,1.53086,1.5298,1.9129,0.0090595,0.0090595,0.0090595
21,184.599,1.42461,1.46092,1.68158,0.62305,0.68933,0.6678,0.38683,1.48659,1.54344,1.88214,0.00901,0.00901,0.00901
22,194.131,1.39244,1.43859,1.65793,0.69543,0.72247,0.71427,0.39584,1.46254,1.49098,1.86437,0.0089605,0.0089605,0.0089605
23,203.16,1.41127,1.42562,1.66352,0.57419,0.75239,0.6898,0.39328,1.5292,1.56259,1.88349,0.008911,0.008911,0.008911
24,211.466,1.39214,1.42486,1.65534,0.61202,0.71508,0.67507,0.39065,1.4412,1.49862,1.83122,0.0088615,0.0088615,0.0088615
25,220.537,1.38554,1.41294,1.65516,0.70206,0.72561,0.70752,0.41463,1.49334,1.52335,1.85066,0.008812,0.008812,0.008812
26,229.11,1.35873,1.40837,1.62953,0.67874,0.68065,0.67554,0.39309,1.4481,1.44381,1.8224,0.0087625,0.0087625,0.0087625
27,238.922,1.36242,1.36723,1.62902,0.62387,0.67372,0.6384,0.33443,1.44714,1.53911,1.84176,0.008713,0.008713,0.008713
28,247.509,1.34482,1.37177,1.61088,0.58199,0.66083,0.57605,0.32404,1.4213,1.5439,1.80583,0.0086635,0.0086635,0.0086635
29,256.062,1.35514,1.39022,1.61757,0.67538,0.68917,0.68122,0.39609,1.41175,1.48978,1.79519,0.008614,0.008614,0.008614
30,264.263,1.35023,1.37712,1.61845,0.65753,0.74019,0.71586,0.40717,1.40744,1.37157,1.7629,0.0085645,0.0085645,0.0085645
31,273.774,1.30919,1.32654,1.57721,0.76905,0.75963,0.76547,0.42917,1.44553,1.35179,1.81758,0.008515,0.008515,0.008515
32,281.606,1.3362,1.33673,1.59552,0.70504,0.74044,0.73139,0.43314,1.37122,1.37272,1.75704,0.0084655,0.0084655,0.0084655
33,290.318,1.31514,1.33256,1.58402,0.69652,0.75298,0.75519,0.44881,1.37876,1.45468,1.76408,0.008416,0.008416,0.008416
34,298.847,1.30777,1.31281,1.58445,0.77478,0.77206,0.79104,0.48237,1.3449,1.28502,1.75061,0.0083665,0.0083665,0.0083665
35,307.445,1.29627,1.3051,1.58145,0.73766,0.75187,0.76588,0.46466,1.34294,1.28673,1.74974,0.008317,0.008317,0.008317
36,316.199,1.27905,1.29387,1.55504,0.71081,0.76691,0.78359,0.46604,1.33914,1.30324,1.77235,0.0082675,0.0082675,0.0082675
37,324.432,1.28941,1.28991,1.56057,0.75934,0.74378,0.74051,0.43991,1.36981,1.34708,1.76654,0.008218,0.008218,0.008218
38,333.693,1.285,1.29041,1.57399,0.78869,0.78932,0.79664,0.48642,1.28406,1.25812,1.73474,0.0081685,0.0081685,0.0081685
39,342.495,1.26819,1.25502,1.54936,0.72921,0.696,0.75034,0.47252,1.30862,1.31693,1.72538,0.008119,0.008119,0.008119
40,351.175,1.25929,1.26037,1.55298,0.74235,0.75203,0.76427,0.47053,1.24679,1.23584,1.66502,0.0080695,0.0080695,0.0080695
41,359.774,1.2807,1.27673,1.55482,0.68638,0.75494,0.72969,0.45769,1.27442,1.24415,1.66606,0.00802,0.00802,0.00802
42,368.358,1.25936,1.26951,1.54944,0.72565,0.76673,0.76208,0.45822,1.29363,1.22239,1.6878,0.0079705,0.0079705,0.0079705
43,377.14,1.22785,1.24878,1.52566,0.7122,0.76279,0.73262,0.46041,1.26741,1.30698,1.6813,0.007921,0.007921,0.007921
44,385.888,1.25268,1.23887,1.5367,0.7174,0.81844,0.76679,0.44676,1.32794,1.31216,1.74071,0.0078715,0.0078715,0.0078715
45,394.342,1.27265,1.25825,1.54916,0.74949,0.782,0.77565,0.47445,1.25165,1.24364,1.66073,0.007822,0.007822,0.007822
46,403.02,1.20806,1.20108,1.49144,0.75965,0.75063,0.77513,0.42814,1.36897,1.3659,1.76294,0.0077725,0.0077725,0.0077725
47,411.447,1.23362,1.21251,1.5109,0.75009,0.78033,0.7809,0.48258,1.26152,1.25062,1.6821,0.007723,0.007723,0.007723
48,419.968,1.23165,1.21468,1.51128,0.76133,0.7771,0.78444,0.49927,1.23145,1.20093,1.64055,0.0076735,0.0076735,0.0076735
49,428.504,1.24656,1.22185,1.52002,0.77608,0.77343,0.79704,0.49653,1.26347,1.22007,1.66679,0.007624,0.007624,0.007624
50,437.195,1.24031,1.243,1.54102,0.73136,0.70699,0.76926,0.44655,1.334,1.38514,1.74578,0.0075745,0.0075745,0.0075745
51,446.02,1.21303,1.20199,1.50675,0.75174,0.76636,0.78636,0.49723,1.25507,1.19242,1.67752,0.007525,0.007525,0.007525
