epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95321,4.46342,3.89315,3.74566,0.00111,0.15271,0.00184,0.00095,4.0831,4.29086,3.71704,0.0032963,0.0032963,0.0703333
2,18.5296,3.96541,3.11419,3.13243,0.02346,0.19032,0.02941,0.00596,4.14717,4.7192,3.68865,0.00659681,0.00659681,0.0403005
3,27.1672,3.54692,2.99369,2.87598,0.03651,0.07937,0.02261,0.00594,3.87302,4.74264,3.82004,0.00986433,0.00986433,0.0102347
4,34.3972,3.16612,2.75864,2.64619,0.43096,0.07389,0.05208,0.01694,3.42835,3.28513,3.26299,0.0098515,0.0098515,0.0098515
5,41.2582,2.9609,2.60244,2.49819,0.51382,0.18303,0.16968,0.05611,3.08302,2.64406,2.81322,0.009802,0.009802,0.009802
6,49.0448,2.75966,2.43635,2.34175,0.67164,0.16907,0.17415,0.04928,2.99172,2.84936,2.76773,0.0097525,0.0097525,0.0097525
7,57.5841,2.59137,2.27108,2.20853,0.50483,0.23808,0.23001,0.08266,2.70922,2.79478,2.57718,0.009703,0.009703,0.009703
8,66.2829,2.46368,2.18375,2.13561,0.29471,0.34373,0.27125,0.09084,2.73038,2.42753,2.58902,0.0096535,0.0096535,0.0096535
9,74.8534,2.36481,2.12626,2.09227,0.54144,0.24483,0.22,0.07022,2.5171,2.73847,2.51184,0.009604,0.009604,0.009604
10,83.6532,2.28474,2.07943,2.01989,0.48027,0.32366,0.33158,0.12414,2.4316,2.23257,2.39706,0.0095545,0.0095545,0.0095545
11,92.1127,2.22067,2.02281,1.99482,0.54701,0.33281,0.30348,0.12044,2.30764,2.61047,2.29376,0.009505,0.009505,0.009505
12,100.767,2.17801,1.9975,1.94905,0.40884,0.3517,0.3411,0.13443,2.24873,2.24003,2.27684,0.0094555,0.0094555,0.0094555
13,109.329,2.11865,1.94617,1.90632,0.3143,0.51614,0.38117,0.15114,2.08318,2.06166,2.18265,0.009406,0.009406,0.009406
14,118.318,2.08263,1.92132,1.89197,0.33533,0.40233,0.38102,0.15516,2.16327,2.17882,2.21519,0.0093565,0.0093565,0.0093565
15,126.995,2.04563,1.87144,1.84577,0.53578,0.36066,0.37687,0.16319,2.01355,2.02788,2.10254,0.009307,0.009307,0.009307
16,135.6,2.01409,1.83545,1.8367,0.44405,0.42309,0.40213,0.17091,2.03832,1.97729,2.0931,0.0092575,0.0092575,0.0092575
