epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5036,4.02945,4.16545,3.99853,0.00049,0.16667,0.00119,0.00043,4.08827,4.06472,3.9669,0.0032963,0.0032963,0.0703333
2,19.8986,3.83682,3.51888,3.69092,0.00109,0.2427,0.00248,0.00037,4.20975,inf,4.89802,0.00659681,0.00659681,0.0403005
3,28.6196,3.41431,3.17551,3.32793,0.00513,0.18226,0.00367,0.00128,4.15309,inf,6.92006,0.00986433,0.00986433,0.0102347
4,37.3145,2.97197,2.90662,2.99831,0.16717,0.00388,5e-05,1e-05,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,46.6582,2.7186,2.68895,2.72699,0.50428,0.02076,0.00185,0.00037,4.2636,11.2435,4.30879,0.009802,0.009802,0.009802
6,55.0634,2.42669,2.40837,2.47317,0.04443,0.19435,0.05604,0.01558,3.25367,3.51868,3.37203,0.0097525,0.0097525,0.0097525
7,64.0595,2.19385,2.16385,2.25606,0.36056,0.18037,0.13121,0.03753,2.88624,2.85829,3.03229,0.009703,0.009703,0.009703
8,73.2388,2.02513,2.0016,2.13419,0.27732,0.23465,0.18176,0.06701,2.41624,2.93598,2.65946,0.0096535,0.0096535,0.0096535
9,82.3145,1.91844,1.91724,2.06551,0.32933,0.43392,0.33374,0.1288,2.25706,2.21958,2.5016,0.009604,0.009604,0.009604
10,91.0502,1.83129,1.84873,1.98872,0.29105,0.38291,0.28179,0.10526,2.23748,2.22435,2.47234,0.0095545,0.0095545,0.0095545
11,100.107,1.79595,1.77232,1.94773,0.53959,0.47414,0.53896,0.2424,1.94282,1.92741,2.27799,0.009505,0.009505,0.009505
12,109.041,1.75053,1.71253,1.9024,0.67571,0.49974,0.56468,0.24383,1.9595,1.81851,2.28562,0.0094555,0.0094555,0.0094555
13,118.308,1.69074,1.64014,1.8439,0.55999,0.17745,0.16975,0.07355,2.60016,3.17238,2.99313,0.009406,0.009406,0.009406
14,127.198,1.65579,1.59759,1.83522,0.56347,0.5871,0.56777,0.24756,1.90379,1.77593,2.21895,0.0093565,0.0093565,0.0093565
15,137.012,1.647,1.56312,1.80797,0.60548,0.55683,0.52982,0.22912,1.90017,1.77408,2.17862,0.009307,0.009307,0.009307
16,145.999,1.60529,1.53868,1.7842,0.5501,0.60537,0.56377,0.25123,1.8245,1.79775,2.11854,0.0092575,0.0092575,0.0092575
17,154.382,1.5874,1.50025,1.75835,0.6808,0.59066,0.64453,0.30456,1.76897,1.56666,2.08014,0.009208,0.009208,0.009208
18,163.268,1.5808,1.46854,1.73893,0.44083,0.35763,0.38463,0.19824,2.13175,2.37571,2.49159,0.0091585,0.0091585,0.0091585
19,171.973,1.5746,1.46191,1.74102,0.48255,0.57731,0.58692,0.28415,1.73747,1.70392,2.07131,0.009109,0.009109,0.009109
20,180.396,1.53713,1.4422,1.73055,0.56944,0.63496,0.63846,0.29278,1.77652,1.56193,2.1329,0.0090595,0.0090595,0.0090595
21,188.949,1.52503,1.39834,1.70682,0.60818,0.6633,0.66252,0.30945,1.73663,1.57189,2.02233,0.00901,0.00901,0.00901
22,197.95,1.5289,1.39959,1.70651,0.5633,0.5718,0.59537,0.2581,1.78114,1.74305,2.09996,0.0089605,0.0089605,0.0089605
23,206.651,1.51946,1.38366,1.69739,0.49218,0.41255,0.43931,0.19186,1.96064,1.99037,2.22941,0.008911,0.008911,0.008911
24,215.563,1.49675,1.36696,1.68384,0.55591,0.57374,0.52855,0.30779,1.64983,1.75619,1.97974,0.0088615,0.0088615,0.0088615
25,224.505,1.4883,1.35859,1.67596,0.5733,0.56165,0.54487,0.26363,1.79043,1.70775,2.18234,0.008812,0.008812,0.008812
26,233.579,1.47534,1.33825,1.66833,0.62767,0.66171,0.68197,0.36496,1.66901,1.46483,2.0315,0.0087625,0.0087625,0.0087625
27,242.695,1.46076,1.3105,1.65759,0.6395,0.5111,0.54492,0.25304,1.82982,1.66369,2.12657,0.008713,0.008713,0.008713
28,251.675,1.45468,1.31235,1.64617,0.51482,0.67571,0.62632,0.32215,1.65023,1.52607,1.99718,0.0086635,0.0086635,0.0086635
29,260.72,1.46296,1.33339,1.64358,0.62748,0.59817,0.64708,0.302,1.79203,1.53869,2.08767,0.008614,0.008614,0.008614
