epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6566,4.08008,4.3784,4.11827,0,0,0,0,4.03528,4.34518,4.03957,0.0032963,0.0032963,0.0703333
2,19.9072,4.00551,4.024,3.90075,0.00128,0.21548,0.00171,0.00054,nan,nan,nan,0.00659681,0.00659681,0.0403005
3,29.2909,3.86013,3.59031,3.61866,0.01162,0.03167,0.00476,0.00083,nan,nan,nan,0.00986433,0.00986433,0.0102347
4,38.2302,3.47929,3.23246,3.33107,0.18255,0.03343,0.00099,0.00017,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,47.595,3.01594,3.01119,2.97117,0.18538,0.10177,0.01668,0.00402,3.85072,9.17161,4.27376,0.009802,0.009802,0.009802
6,56.7607,2.67711,2.7125,2.66865,0.29216,0.24206,0.11773,0.02763,2.97799,3.6908,3.05865,0.0097525,0.0097525,0.0097525
7,66.1459,2.43668,2.49248,2.46019,0.45411,0.1747,0.1393,0.04315,2.82341,3.07946,2.86246,0.009703,0.009703,0.009703
8,75.1907,2.28376,2.35337,2.35038,0.30232,0.16896,0.13761,0.04361,2.60565,3.038,2.72533,0.0096535,0.0096535,0.0096535
9,84.5896,2.1514,2.26459,2.26205,0.1931,0.38279,0.20171,0.06247,2.50605,2.66752,2.62515,0.009604,0.009604,0.009604
10,93.7579,2.09105,2.20003,2.194,0.23534,0.41408,0.22234,0.06853,2.3657,2.50475,2.53702,0.0095545,0.0095545,0.0095545
11,103.079,2.03653,2.12155,2.15316,0.39762,0.35091,0.27541,0.09341,2.27506,2.29802,2.46314,0.009505,0.009505,0.009505
12,112.172,1.99479,2.07567,2.09531,0.31918,0.42623,0.3048,0.11,2.19481,2.25104,2.3771,0.0094555,0.0094555,0.0094555
13,121.447,1.92953,1.97829,2.03668,0.34422,0.38734,0.3005,0.10914,2.24252,2.27534,2.46258,0.009406,0.009406,0.009406
14,130.927,1.92639,1.95641,2.03993,0.28671,0.49085,0.31423,0.11985,2.11493,2.2606,2.33342,0.0093565,0.0093565,0.0093565
15,140.202,1.8854,1.91831,1.98571,0.35028,0.47513,0.33563,0.1209,2.07824,2.08708,2.299,0.009307,0.009307,0.009307
