epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72889,4.0145,4.0053,3.93164,0.00036,0.16667,0.00081,0.00016,4.22,4.06614,3.9377,0.0032963,0.0032963,0.0703333
2,18.3959,3.81501,3.31405,3.53144,0.1779,0.03196,0.01543,0.0036,4.18759,4.16983,4.03206,0.00659681,0.00659681,0.0403005
3,26.9641,3.36155,3.13221,3.19589,0.36905,0.05595,0.01348,0.00296,3.89737,3.74825,3.7324,0.00986433,0.00986433,0.0102347
4,35.3641,2.89553,2.94036,2.85323,0.31049,0.16128,0.10748,0.02661,3.27831,4.79265,3.17065,0.0098515,0.0098515,0.0098515
5,43.9578,2.61035,2.69878,2.61009,0.30582,0.27517,0.13197,0.043,2.85613,2.75886,2.98153,0.009802,0.009802,0.009802
6,52.7249,2.3812,2.46042,2.41935,0.12739,0.34052,0.16353,0.0479,2.68198,2.79393,2.79711,0.0097525,0.0097525,0.0097525
7,61.5984,2.22044,2.28909,2.27831,0.19799,0.4033,0.20839,0.07492,2.50442,2.8666,2.62317,0.009703,0.009703,0.009703
8,70.2339,2.12871,2.17258,2.20925,0.38516,0.28375,0.21004,0.07816,2.56357,2.67081,2.67523,0.0096535,0.0096535,0.0096535
9,78.8145,2.02617,2.08454,2.154,0.25249,0.38044,0.25564,0.09582,2.45138,2.51182,2.62198,0.009604,0.009604,0.009604
10,87.4631,1.95291,2.03489,2.0895,0.27291,0.45005,0.31296,0.12821,2.20012,2.23444,2.40087,0.0095545,0.0095545,0.0095545
11,96.3058,1.91011,1.94736,2.04009,0.3228,0.44989,0.37797,0.15773,2.0183,2.14663,2.24369,0.009505,0.009505,0.009505
12,105.038,1.88442,1.92821,2.01027,0.4984,0.54933,0.49169,0.22707,1.99502,1.99973,2.22611,0.0094555,0.0094555,0.0094555
13,114.013,1.81927,1.87371,1.9632,0.43874,0.55791,0.5002,0.23978,2.00831,2.07193,2.28835,0.009406,0.009406,0.009406
14,122.778,1.79376,1.8309,1.95107,0.40033,0.50903,0.43832,0.20607,1.94866,1.99905,2.22527,0.0093565,0.0093565,0.0093565
15,131.591,1.78351,1.78179,1.91857,0.52437,0.55345,0.52526,0.24866,1.86894,1.83872,2.11442,0.009307,0.009307,0.009307
16,140.763,1.73548,1.75496,1.88078,0.61881,0.59138,0.57554,0.27211,1.82855,1.83591,2.07432,0.0092575,0.0092575,0.0092575
