epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.427,4.03086,4.10696,3.95076,0.00036,0.16667,0.00107,0.00021,4.21601,4.13788,3.94471,0.0032963,0.0032963,0.0703333
2,18.8834,3.82748,3.42577,3.54938,0.85545,0.02713,0.01874,0.00426,4.07754,4.95008,4.35959,0.00659681,0.00659681,0.0403005
3,27.901,3.40493,3.21734,3.2279,0.01784,0.1133,0.01159,0.00293,3.89384,15.4089,4.48095,0.00986433,0.00986433,0.0102347
4,36.7327,2.96423,3.05377,2.91266,0.8005,0.04168,0.05133,0.01469,3.27976,3.96973,3.42995,0.0098515,0.0098515,0.0098515
5,45.6387,2.68145,2.89629,2.67481,0.43171,0.1203,0.07437,0.02972,3.03842,3.79766,3.07294,0.009802,0.009802,0.009802
6,54.505,2.44713,2.67328,2.48669,0.50593,0.23219,0.17017,0.05432,2.75608,3.30664,2.82871,0.0097525,0.0097525,0.0097525
7,63.5231,2.26782,2.46171,2.3269,0.35511,0.31206,0.18019,0.06195,2.5201,3.33394,2.66437,0.009703,0.009703,0.009703
8,72.3787,2.13964,2.33215,2.23495,0.26366,0.44297,0.27444,0.10768,2.24875,2.57027,2.4547,0.0096535,0.0096535,0.0096535
9,81.4049,2.05503,2.22425,2.16935,0.23974,0.39359,0.27263,0.10433,2.31885,2.81806,2.48001,0.009604,0.009604,0.009604
10,90.3593,1.99252,2.15759,2.1146,0.32428,0.39967,0.30938,0.12488,2.14795,2.59569,2.36562,0.0095545,0.0095545,0.0095545
11,99.6026,1.95885,2.08519,2.07335,0.36019,0.43528,0.37099,0.15109,2.02913,2.27896,2.24753,0.009505,0.009505,0.009505
12,108.614,1.91306,2.05564,2.02615,0.52911,0.45427,0.44224,0.16568,1.93713,2.33895,2.15162,0.0094555,0.0094555,0.0094555
13,117.434,1.84685,1.95953,1.96258,0.40461,0.54851,0.48616,0.22676,1.9229,2.06508,2.13501,0.009406,0.009406,0.009406
14,126.315,1.83349,1.93268,1.95953,0.30668,0.40566,0.36537,0.16076,1.9126,2.27434,2.15753,0.0093565,0.0093565,0.0093565
15,135.288,1.79597,1.8943,1.91816,0.63456,0.4496,0.47337,0.21439,1.83906,1.96747,2.08134,0.009307,0.009307,0.009307
16,144.175,1.75493,1.86104,1.88302,0.53093,0.48206,0.49154,0.25098,1.85636,2.01804,2.05612,0.0092575,0.0092575,0.0092575
17,153.08,1.74142,1.81781,1.87025,0.54273,0.53701,0.52224,0.25243,1.77244,1.89841,2.01821,0.009208,0.009208,0.009208
18,161.827,1.73454,1.79699,1.84686,0.51159,0.4613,0.43342,0.19849,1.82774,2.09163,2.03038,0.0091585,0.0091585,0.0091585
19,170.724,1.7221,1.76371,1.84727,0.60659,0.54066,0.52553,0.27577,1.72955,1.84118,1.98812,0.009109,0.009109,0.009109
20,179.67,1.68803,1.75702,1.82649,0.58048,0.54616,0.51441,0.24357,1.72402,2.003,1.96084,0.0090595,0.0090595,0.0090595
21,188.074,1.67256,1.70387,1.80711,0.54108,0.61437,0.57948,0.30662,1.69053,1.76526,1.96797,0.00901,0.00901,0.00901
22,196.738,1.65096,1.68759,1.79017,0.58802,0.54102,0.55665,0.29691,1.74071,1.88535,1.97123,0.0089605,0.0089605,0.0089605
23,205.501,1.66465,1.66285,1.79142,0.66815,0.53192,0.58137,0.2963,1.6564,1.6708,1.90624,0.008911,0.008911,0.008911
24,214.697,1.63425,1.64631,1.77338,0.64038,0.59976,0.5818,0.32454,1.65578,1.71052,1.91029,0.0088615,0.0088615,0.0088615
25,223.479,1.63149,1.64371,1.7771,0.6384,0.57098,0.5888,0.30685,1.65637,1.75959,1.90657,0.008812,0.008812,0.008812
26,232.344,1.6229,1.63497,1.7654,0.65772,0.5442,0.58713,0.29604,1.70247,1.811,1.94716,0.0087625,0.0087625,0.0087625
