epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50995,4.27288,4.2447,4.01878,0,0,0,0,4.32254,3.88532,3.96844,0.0032963,0.0032963,0.0703333
2,18.6355,4.04138,3.54292,3.59099,0.02762,0.02224,0.00886,0.0026,4.27936,4.31536,3.92222,0.00659681,0.00659681,0.0403005
3,27.6834,3.60584,3.31471,3.26395,0.39861,0.07327,0.03347,0.00723,3.90474,4.01929,3.69375,0.00986433,0.00986433,0.0102347
4,36.5144,3.1859,3.11104,2.99478,0.59952,0.09492,0.06003,0.01671,3.45008,3.94796,3.34448,0.0098515,0.0098515,0.0098515
5,45.1612,2.89905,2.90046,2.77418,0.51517,0.21323,0.12904,0.04144,3.10503,3.32741,2.9979,0.009802,0.009802,0.009802
6,54.0534,2.6473,2.67978,2.58735,0.59397,0.23876,0.15537,0.0477,2.90077,3.30481,2.92205,0.0097525,0.0097525,0.0097525
7,62.7597,2.47403,2.49177,2.43141,0.6918,0.17145,0.18651,0.06054,2.59031,3.10143,2.63238,0.009703,0.009703,0.009703
8,71.5111,2.34076,2.36942,2.33693,0.49602,0.27012,0.2583,0.09477,2.49655,2.52537,2.60853,0.0096535,0.0096535,0.0096535
9,80.1723,2.2456,2.28655,2.27353,0.48987,0.33947,0.30762,0.10418,2.36387,2.46177,2.52988,0.009604,0.009604,0.009604
10,88.8742,2.18322,2.24645,2.21718,0.43964,0.34864,0.31292,0.12104,2.26328,2.46444,2.42252,0.0095545,0.0095545,0.0095545
11,97.7146,2.13392,2.15048,2.16393,0.5205,0.33355,0.31703,0.11564,2.25404,2.2231,2.36378,0.009505,0.009505,0.009505
12,106.518,2.12729,2.12336,2.13738,0.52605,0.44964,0.40148,0.15695,2.10136,2.33598,2.2555,0.0094555,0.0094555,0.0094555
13,115.364,2.04491,2.03198,2.07419,0.34143,0.45877,0.39519,0.15791,2.13635,2.19457,2.31179,0.009406,0.009406,0.009406
14,124.064,2.03718,2.02561,2.07188,0.55895,0.40685,0.38755,0.15894,2.09046,2.19703,2.27058,0.0093565,0.0093565,0.0093565
15,133,1.99378,1.96735,2.01867,0.51682,0.40379,0.36909,0.15665,2.03285,2.10662,2.22669,0.009307,0.009307,0.009307
16,141.846,1.95538,1.9363,1.99486,0.61452,0.41204,0.43742,0.18755,1.99396,2.08778,2.1897,0.0092575,0.0092575,0.0092575
17,150.832,1.93288,1.9093,1.95898,0.54286,0.44083,0.45333,0.2056,1.96673,2.00714,2.14747,0.009208,0.009208,0.009208
18,159.567,1.92752,1.87262,1.95448,0.61362,0.38403,0.44059,0.19478,1.92408,1.95926,2.10272,0.0091585,0.0091585,0.0091585
19,168.438,1.91214,1.86417,1.94059,0.57989,0.4544,0.44565,0.20488,1.96773,2.08655,2.13535,0.009109,0.009109,0.009109
20,177.183,1.88025,1.86158,1.93237,0.36371,0.49583,0.43698,0.19672,1.96241,2.10408,2.10368,0.0090595,0.0090595,0.0090595
21,185.609,1.89903,1.83601,1.9255,0.71562,0.38652,0.45264,0.18811,1.97912,2.06801,2.14609,0.00901,0.00901,0.00901
22,194.417,1.86585,1.80086,1.90527,0.63356,0.42221,0.47691,0.21145,1.89228,1.94321,2.08982,0.0089605,0.0089605,0.0089605
23,203.115,1.82015,1.78854,1.87261,0.58426,0.46275,0.46741,0.20358,1.93426,1.92661,2.11296,0.008911,0.008911,0.008911
24,211.943,1.84415,1.78065,1.88715,0.73819,0.41032,0.47563,0.20337,1.88441,1.9156,2.09027,0.0088615,0.0088615,0.0088615
25,220.756,1.82971,1.77295,1.88214,0.4578,0.53236,0.47022,0.21918,1.83756,1.92346,2.03948,0.008812,0.008812,0.008812
